module,package,controller,tag,class_base_path,http_method,method_path,full_path,java_method,pre_authorize,required_feature,source,line
tchalanet-server,com.tchalanet.server.platform.accesscontrol.internal.web,AccessControlAdminController,Admin • Access Control,/admin/access-control,GET,/permissions,/admin/access-control/permissions,listPermissions,hasPermission('permission.read'),,tchalanet-platform/src/main/java/com/tchalanet/server/platform/accesscontrol/internal/web/AccessControlAdminController.java,59
tchalanet-server,com.tchalanet.server.platform.accesscontrol.internal.web,AccessControlAdminController,Admin • Access Control,/admin/access-control,GET,/roles,/admin/access-control/roles,listRoles,hasPermission('role.read'),,tchalanet-platform/src/main/java/com/tchalanet/server/platform/accesscontrol/internal/web/AccessControlAdminController.java,50
tchalanet-server,com.tchalanet.server.platform.archive.internal.web,AdminArchiveController,Admin - Archive,/admin/archive,GET,/audit,/admin/archive/audit,getArchivedAudit,"hasPermission(null, 'archive.read')",,tchalanet-platform/src/main/java/com/tchalanet/server/platform/archive/internal/web/AdminArchiveController.java,58
tchalanet-server,com.tchalanet.server.platform.tenant.internal.web,BusinessDayOverrideController,Tenant • Business Days,/admin/business-days,GET,,/admin/business-days,list,"hasAnyRole('TENANT_ADMIN', 'SUPER_ADMIN')",,tchalanet-platform/src/main/java/com/tchalanet/server/platform/tenant/internal/web/BusinessDayOverrideController.java,28
tchalanet-server,com.tchalanet.server.platform.tenant.internal.web,BusinessDayOverrideController,Tenant • Business Days,/admin/business-days,PUT,,/admin/business-days,upsert,"hasAnyRole('TENANT_ADMIN', 'SUPER_ADMIN')",,tchalanet-platform/src/main/java/com/tchalanet/server/platform/tenant/internal/web/BusinessDayOverrideController.java,38
tchalanet-server,com.tchalanet.server.features.tenantadmin.commission,TenantAdminCommissionController,Commission • Admin,/admin/commission,PUT,/default-rate,/admin/commission/default-rate,setDefaultRate,"hasAnyRole('TENANT_OWNER', 'TENANT_ADMIN', 'SUPER_ADMIN')",,tchalanet-features/src/main/java/com/tchalanet/server/features/tenantadmin/commission/TenantAdminCommissionController.java,72
tchalanet-server,com.tchalanet.server.features.tenantadmin.commission,TenantAdminCommissionController,Commission • Admin,/admin/commission,GET,/overview,/admin/commission/overview,overview,"hasAnyRole('TENANT_OWNER', 'TENANT_ADMIN', 'SUPER_ADMIN')",,tchalanet-features/src/main/java/com/tchalanet/server/features/tenantadmin/commission/TenantAdminCommissionController.java,55
tchalanet-server,com.tchalanet.server.features.tenantadmin.commission,TenantAdminCommissionController,Commission • Admin,/admin/commission,GET,/sellers,/admin/commission/sellers,listSellerCommissions,"hasAnyRole('TENANT_OWNER', 'TENANT_ADMIN', 'SUPER_ADMIN')",,tchalanet-features/src/main/java/com/tchalanet/server/features/tenantadmin/commission/TenantAdminCommissionController.java,82
tchalanet-server,com.tchalanet.server.core.pricing.internal.infra.web.admin,PricingOverrideAdminController,Pricing • Admin,/admin/controls/odds,GET,,/admin/controls/odds,getTenantDefaultOdds,"hasAnyRole('TENANT_OWNER', 'TENANT_ADMIN', 'SUPER_ADMIN')",,tchalanet-core/src/main/java/com/tchalanet/server/core/pricing/internal/infra/web/admin/PricingOverrideAdminController.java,40
tchalanet-server,com.tchalanet.server.core.drawresult.internal.infra.web,DrawResultsController,Admin • Draw Results,/admin/draw-results,GET,,/admin/draw-results,list,"hasAnyRole('TENANT_OWNER', 'TENANT_ADMIN', 'SUPER_ADMIN')",,tchalanet-core/src/main/java/com/tchalanet/server/core/drawresult/internal/infra/web/DrawResultsController.java,36
tchalanet-server,com.tchalanet.server.core.drawresult.internal.infra.web,DrawResultsController,Admin • Draw Results,/admin/draw-results,GET,/last-days,/admin/draw-results/last-days,listLastDays,"hasAnyRole('TENANT_OWNER', 'TENANT_ADMIN', 'SUPER_ADMIN')",,tchalanet-core/src/main/java/com/tchalanet/server/core/drawresult/internal/infra/web/DrawResultsController.java,94
tchalanet-server,com.tchalanet.server.features.tenantadmin.drawresult,TenantAdminDrawResultController,Tenant Admin • Draw Results,/admin/draw-results,POST,/manual,/admin/draw-results/manual,propose,"hasAnyRole('TENANT_OWNER', 'TENANT_ADMIN')",,tchalanet-features/src/main/java/com/tchalanet/server/features/tenantadmin/drawresult/TenantAdminDrawResultController.java,32
tchalanet-server,com.tchalanet.server.core.drawresult.internal.infra.web,DrawResultsController,Admin • Draw Results,/admin/draw-results,GET,/today,/admin/draw-results/today,listToday,"hasAnyRole('TENANT_OWNER', 'TENANT_ADMIN', 'SUPER_ADMIN')",,tchalanet-core/src/main/java/com/tchalanet/server/core/drawresult/internal/infra/web/DrawResultsController.java,67
tchalanet-server,com.tchalanet.server.core.draw.internal.infra.web,DrawQueryAdminController,Draws • Admin,/admin/draws,GET,,/admin/draws,listDraws,"hasAnyRole('TENANT_OWNER', 'TENANT_ADMIN', 'SUPER_ADMIN')",,tchalanet-core/src/main/java/com/tchalanet/server/core/draw/internal/infra/web/DrawQueryAdminController.java,37
tchalanet-server,com.tchalanet.server.core.draw.internal.infra.web,DrawQueryAdminController,Draws • Admin,/admin/draws,GET,/latest-with-results,/admin/draws/latest-with-results,latestWithResults,"hasAnyRole('TENANT_OWNER', 'TENANT_ADMIN', 'SUPER_ADMIN')",,tchalanet-core/src/main/java/com/tchalanet/server/core/draw/internal/infra/web/DrawQueryAdminController.java,112
tchalanet-server,com.tchalanet.server.core.draw.internal.infra.web,DrawQueryAdminController,Draws • Admin,/admin/draws,GET,/next,/admin/draws/next,nextDraws,"hasAnyRole('TENANT_OWNER', 'TENANT_ADMIN', 'SUPER_ADMIN')",,tchalanet-core/src/main/java/com/tchalanet/server/core/draw/internal/infra/web/DrawQueryAdminController.java,92
tchalanet-server,com.tchalanet.server.core.draw.internal.infra.web,DrawQueryAdminController,Draws • Admin,/admin/draws,GET,/today,/admin/draws/today,todayDraws,"hasAnyRole('TENANT_OWNER', 'TENANT_ADMIN', 'SUPER_ADMIN')",,tchalanet-core/src/main/java/com/tchalanet/server/core/draw/internal/infra/web/DrawQueryAdminController.java,57
tchalanet-server,com.tchalanet.server.core.draw.internal.infra.web,DrawQueryAdminController,Draws • Admin,/admin/draws,GET,/upcoming,/admin/draws/upcoming,upcomingDraws,"hasAnyRole('TENANT_OWNER', 'TENANT_ADMIN', 'SUPER_ADMIN')",,tchalanet-core/src/main/java/com/tchalanet/server/core/draw/internal/infra/web/DrawQueryAdminController.java,72
tchalanet-server,com.tchalanet.server.platform.tenantgame.internal.web,TenantGameAdminController,Admin • Games,/admin/games,GET,,/admin/games,list,"hasPermission(null, 'tenantgame.read')",,tchalanet-platform/src/main/java/com/tchalanet/server/platform/tenantgame/internal/web/TenantGameAdminController.java,45
tchalanet-server,com.tchalanet.server.platform.tenantgame.internal.web,TenantGameAdminController,Admin • Games,/admin/games,GET,/catalog,/admin/games/catalog,catalog,"hasPermission(null, 'tenantgame.read')",,tchalanet-platform/src/main/java/com/tchalanet/server/platform/tenantgame/internal/web/TenantGameAdminController.java,65
tchalanet-server,com.tchalanet.server.platform.identity.internal.web.admin,IdentityUserAdminController,Admin • Identity Users,/admin/identity/users,GET,,/admin/identity/users,list,"hasAnyRole('TENANT_ADMIN','SUPER_ADMIN')",,tchalanet-platform/src/main/java/com/tchalanet/server/platform/identity/internal/web/admin/IdentityUserAdminController.java,71
tchalanet-server,com.tchalanet.server.platform.identity.internal.web.admin,IdentityUserAdminController,Admin • Identity Users,/admin/identity/users,POST,,/admin/identity/users,create,"hasAnyRole('TENANT_ADMIN','SUPER_ADMIN')",,tchalanet-platform/src/main/java/com/tchalanet/server/platform/identity/internal/web/admin/IdentityUserAdminController.java,105
tchalanet-server,com.tchalanet.server.platform.notification.internal.web,AdminNotificationController,Admin • Notifications,/admin/notifications,GET,,/admin/notifications,list,hasRole('TENANT_ADMIN') or hasRole('SUPER_ADMIN'),,tchalanet-platform/src/main/java/com/tchalanet/server/platform/notification/internal/web/AdminNotificationController.java,45
