Type,Name,Occurrences,SamplePaths
Command,CreateDrawCommand,4,"src/main/java/com/tchalanet/server/core/draw/application/command/model/CreateDrawCommand.java; src/main/java/com/tchalanet/server/core/draw/infra/web/DrawAdminController.java; src/main/java/com/tchalanet/server/core/draw/infra/web/mapper/DrawAdminWebMapper.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/CreateDrawCommandHandler.java"
Command,CreateDrawChannelCommand,4,"src/main/java/com/tchalanet/server/core/draw/application/command/model/CreateDrawChannelCommand.java; src/main/java/com/tchalanet/server/core/draw/infra/web/mapper/DrawChannelWebMapper.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/CreateDrawChannelCommandHandler.java; src/main/java/com/tchalanet/server/core/draw/verification.md"
Command,UpdateDrawCommand,8,"src/main/java/com/tchalanet/server/core/draw/application/command/model/UpdateDrawCommand.java; src/main/java/com/tchalanet/server/core/draw/infra/web/DrawAdminController.java; src/main/java/com/tchalanet/server/core/draw/infra/web/mapper/DrawAdminWebMapper.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/UpdateDrawCommandHandler.java"
Command,SettleDrawCommand,6,"src/main/java/com/tchalanet/server/core/draw/application/command/model/SettleDrawCommand.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/SettleDrawsCommandHandler.java; src/main/java/com/tchalanet/server/core/draw/infra/web/mapper/DrawWebMapper.java; src/main/java/com/tchalanet/server/core/draw/infra/batch/results/settle/SettleProcessor.java"
Command,OpenDueDrawsCommand,7,"src/main/java/com/tchalanet/server/core/draw/application/command/model/OpenDueDrawsCommand.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/OpenDueDrawsCommandHandler.java; src/main/java/com/tchalanet/server/core/draw/infra/web/ops/DrawCalendarOpsController.java; src/main/java/com/tchalanet/server/core/draw/infra/batch/config/DrawLifeCycleScheduler.java"
Command,CloseDueDrawsCommand,7,"src/main/java/com/tchalanet/server/core/draw/application/command/model/CloseDueDrawsCommand.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/CloseDueDrawsCommandHandler.java; src/main/java/com/tchalanet/server/core/draw/infra/web/ops/DrawCalendarOpsController.java; src/main/java/com/tchalanet/server/core/draw/infra/batch/config/DrawLifeCycleScheduler.java"
Command,GenerateDrawsForRangeCommand,9,"src/main/java/com/tchalanet/server/core/draw/application/command/model/GenerateDrawsForRangeCommand.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/GenerateDrawsForRangeCommandHandler.java; src/main/java/com/tchalanet/server/core/draw/infra/web/ops/DrawCalendarOpsController.java; src/main/java/com/tchalanet/server/core/draw/infra/batch/config/DrawLifeCycleScheduler.java"
Command,ApplyExternalResultsForDateCommand,10,"src/main/java/com/tchalanet/server/core/draw/application/command/model/ApplyExternalResultsForDateCommand.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/ApplyExternalResultsForDateCommandHandler.java; src/main/java/com/tchalanet/server/core/draw/infra/web/ops/DrawResultsOpsController.java; src/main/java/com/tchalanet/server/core/draw/infra/batch/config/DrawResultsScheduler.java"
Command,FetchAndApplyExternalResultCommand,8,"src/main/java/com/tchalanet/server/core/draw/application/command/model/FetchAndApplyExternalResultCommand.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/FetchAndApplyExternalResultCommandHandler.java; src/main/java/com/tchalanet/server/core/draw/infra/web/mapper/DrawWebMapper.java; src/main/java/com/tchalanet/server/core/draw/verification.md"
Command,FetchExternalResultsForDateCommand,6,"src/main/java/com/tchalanet/server/core/draw/application/command/model/FetchExternalResultsForDateCommand.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/FetchExternalResultsForDateCommandHandler.java; src/main/java/com/tchalanet/server/core/draw/infra/batch/config/DrawResultsScheduler.java"
Command,RefreshPublicDrawsCacheCommand,4,"src/main/java/com/tchalanet/server/core/draw/application/command/model/RefreshPublicDrawsCacheCommand.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/RefreshPublicDrawsCacheCommandHandler.java; src/main/java/com/tchalanet/server/features/pagemodel/batch/RefreshPublicCacheTasklet.java; src/main/java/com/tchalanet/server/core/draw/verification.md"
Command,RefreshInternalDrawCacheCommand,2,"src/main/java/com/tchalanet/server/core/draw/application/command/model/RefreshInternalDrawCacheCommand.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/RefreshInternalDrawCacheCommandHandler.java"
Command,RefreshDrawCacheCommand,1,"src/main/java/com/tchalanet/server/core/draw/application/command/model/RefreshDrawCacheCommand.java"
Command,InvalidateDrawCacheCommand,1,"src/main/java/com/tchalanet/server/core/draw/application/command/model/InvalidateDrawCacheCommand.java"
Command,RecordManualDrawResultCommand,3,"src/main/java/com/tchalanet/server/core/draw/application/command/model/RecordManualDrawResultCommand.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/RecordManualDrawResultCommandHandler.java; src/main/java/com/tchalanet/server/core/draw/infra/web/ops/DrawResultsOpsController.java"
Command,OverrideDrawResultCommand,4,"src/main/java/com/tchalanet/server/core/draw/application/command/model/OverrideDrawResultCommand.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/OverrideDrawResultCommandHandler.java; src/main/java/com/tchalanet/server/core/draw/verification.md; src/main/java/com/tchalanet/server/core/draw/infra/web/model/OverrideDrawResultRequest.java"
Command,InvalidateDrawResultCommand,2,"src/main/java/com/tchalanet/server/core/draw/application/command/model/InvalidateDrawResultCommand.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/InvalidateDrawResultCommandHandler.java"
Command,RetrySettleDrawCommand,2,"src/main/java/com/tchalanet/server/core/draw/application/command/model/RetrySettleDrawCommand.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/RetrySettleDrawCommandHandler.java"
Command,ResetSettlementForDrawCommand,2,"src/main/java/com/tchalanet/server/core/draw/application/command/model/ResetSettlementForDrawCommand.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/ResetSettlementForDrawCommandHandler.java"
Command,CancelDrawCommand,2,"src/main/java/com/tchalanet/server/core/draw/application/command/model/CancelDrawCommand.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/CancelDrawsCommandHandler.java"
Command,ArchiveDrawChannelCommand,2,"src/main/java/com/tchalanet/server/core/draw/application/command/model/ArchiveDrawChannelCommand.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/ArchiveDrawChannelCommandHandler.java"
Command,ArchiveDrawCommand,3,"src/main/java/com/tchalanet/server/core/draw/application/command/model/ArchiveDrawCommand.java; src/main/java/com/tchalanet/server/core/draw/application/command/handler/ArchiveDrawsCommandHandler.java; src/main/java/com/tchalanet/server/core/draw/infra/web/ops/DrawResultsOpsController.java"
Command,GenerateDrawsForDateRangeCommand,1,"src/main/java/com/tchalanet/server/core/draw/application/command/model/GenerateDrawsForDateRangeCommand.java"
Command,RebuildDrawReadModelsCommand,1,"src/main/java/com/tchalanet/server/core/draw/application/command/model/RebuildDrawReadModelsCommand.java"
Command,OpenDueDrawsResult,1,"src/main/java/com/tchalanet/server/core/draw/application/command/model/OpenDueDrawsResult.java"
