tchala_lang,dream_text,numbers,primary_number,status,source_name,source_url,dedupe_key,notes
ht,Achte,55.07.76.36,55,APPROVED,lotto.ht/tchala,https://lotto.ht/tchala,achte,imported_from_public_web_page
ht,Adiltè,29.58.69.28,29,APPROVED,lotto.ht/tchala,https://lotto.ht/tchala,adilte,imported_from_public_web_page
ht,Akouchman,32.56.11.33,32,APPROVED,lotto.ht/tchala,https://lotto.ht/tchala,akouchman,imported_from_public_web_page
ht,Aksidan,96.06.05.49,96,APPROVED,lotto.ht/tchala,https://lotto.ht/tchala,aksidan,imported_from_public_web_page
ht,Alimèt,11.08.42,11,APPROVED,lotto.ht/tchala,https://lotto.ht/tchala,alimet,imported_from_public_web_page
ht,Altagras,12.21,12,APPROVED,lotto.ht/tchala,https://lotto.ht/tchala,altagras,imported_from_public_web_page
ht,Anana,73.19.11,73,APPROVED,lotto.ht/tchala,https://lotto.ht/tchala,anana,imported_from_public_web_page
ht,Anbilans,30.37.22.42,30,APPROVED,lotto.ht/tchala,https://lotto.ht/tchala,anbilans,imported_from_public_web_page
ht,Ansent,20,20,APPROVED,lotto.ht/tchala,https://lotto.ht/tchala,ansent,imported_from_public_web_page
ht,Antèman,09.91.10.66,09,APPROVED,lotto.ht/tchala,https://lotto.ht/tchala,anteman,imported_from_public_web_page
ht,Arete,36.13.24.25,36,APPROVED,lotto.ht/tchala,https://lotto.ht/tchala,arete,imported_from_public_web_page
ht,Atelye,41.47.45.73,41,APPROVED,lotto.ht/tchala,https://lotto.ht/tchala,atelye,imported_from_public_web_page
ht,Avyon,03.29.47.85.04,03,APPROVED,lotto.ht/tchala,https://lotto.ht/tchala,avyon,imported_from_public_web_page
ht,Bag Maryaj,25.59,25,APPROVED,lotto.ht/tchala,https://lotto.ht/tchala,bag_maryaj,imported_from_public_web_page
ht,Bale,55.03.14,55,APPROVED,lotto.ht/tchala,https://lotto.ht/tchala,bale,imported_from_public_web_page
ht,Balèn,65.04.59,65,APPROVED,lotto.ht/tchala,https://lotto.ht/tchala,balen,imported_from_public_web_page
ht,Bank,61.15.84.14,61,APPROVED,lotto.ht/tchala,https://lotto.ht/tchala,bank,imported_from_public_web_page
ht,Bannann,87.48,87,APPROVED,lotto.ht/tchala,https://lotto.ht/tchala,bannann,imported_from_public_web_page
ht,Batay,78.11.19.32,78,APPROVED,lotto.ht/tchala,https://lotto.ht/tchala,batay,imported_from_public_web_page
ht,Bato,18.68,18,APPROVED,lotto.ht/tchala,https://lotto.ht/tchala,bato,imported_from_public_web_page
ht,Baton,89.40.41.88,89,APPROVED,lotto.ht/tchala,https://lotto.ht/tchala,baton,imported_from_public_web_page
ht,Baton,43.61,43,APPROVED,lotto.ht/tchala,https://lotto.ht/tchala,baton,imported_from_public_web_page
ht,Batèm,88.69.58,88,APPROVED,lotto.ht/tchala,https://lotto.ht/tchala,batem,imported_from_public_web_page
ht,Bay Tete,19,19,APPROVED,lotto.ht/tchala,https://lotto.ht/tchala,bay_tete,imported_from_public_web_page
ht,Baza,39.62,39,APPROVED,lotto.ht/tchala,https://lotto.ht/tchala,baza,imported_from_public_web_page
ht,Bekàn,52.41.78,52,APPROVED,lotto.ht/tchala,https://lotto.ht/tchala,bekan,imported_from_public_web_page
